Frequenz (Hz)	Pegel (dB)
195,144653	-90,250916
195,817566	-90,198563
196,490479	-91,188927
197,163391	-90,775185
197,836304	-89,218147
198,509216	-88,577209
199,182129	-87,864861
199,855042	-86,134026
200,527954	-89,793503
201,200867	-91,355385
201,873779	-88,010223
202,546692	-89,370285
203,219604	-90,751610
203,892517	-91,150002
204,565430	-89,638428
205,238342	-88,540161
205,911255	-89,145233
206,584167	-88,203178
207,257080	-87,903610
207,929993	-89,393478
208,602905	-89,897697
209,275818	-88,630417
209,948730	-89,213722
210,621643	-88,796837
211,294556	-88,466766
211,967468	-88,368675
212,640381	-90,213181
213,313293	-89,743065
213,986206	-89,526024
214,659119	-90,999138
215,332031	-89,524101
216,004944	-88,182892
216,677856	-90,586678
217,350769	-91,364037
218,023682	-90,548538
218,696594	-93,630844
219,369507	-93,566452
220,042419	-93,747452
220,715332	-90,996529
221,388245	-90,864296
222,061157	-91,245728
222,734070	-93,245926
223,406982	-90,288116
224,079895	-90,463066
224,752808	-88,946121
225,425720	-89,092430
226,098633	-87,661934
226,771545	-87,990028
227,444458	-90,966927
228,117371	-86,872231
228,790283	-86,803223
229,463196	-89,531403
230,136108	-85,778137
230,809021	-85,247780
231,481934	-88,637756
232,154846	-89,577545
232,827759	-87,700188
233,500671	-89,365341
234,173584	-90,433403
234,846497	-87,500229
235,519409	-88,447594
236,192322	-89,603546
236,865234	-87,153885
237,538147	-89,313286
238,211060	-89,823387
238,883972	-90,115128
239,556885	-89,987343
240,229797	-90,044762
240,902710	-90,307129
241,575623	-89,998260
242,248535	-88,993149
242,921448	-87,896179
243,594360	-88,717926
244,267273	-90,483986
244,940186	-94,194458
245,613098	-90,574226
246,286011	-87,651390
246,958923	-87,603096
247,631836	-89,566055
248,304749	-92,476044
248,977661	-90,603081
249,650574	-92,474426
250,323486	-95,402771
250,996399	-91,576164
251,669312	-88,103111
252,342224	-87,257858
253,015137	-86,814110
253,688049	-86,253075
254,360962	-86,766808
255,033875	-89,931023
255,706787	-89,357063
256,379700	-89,362534
257,052612	-88,126068
257,725525	-88,203194
258,398438	-89,237320
259,071350	-87,955521
259,744263	-89,880699
260,417175	-88,093231
261,090088	-88,315758
261,763000	-89,460625
262,435913	-87,262619
263,108826	-86,779419
263,781738	-87,926994
264,454651	-90,516945
265,127563	-89,807167
265,800476	-89,629570
266,473389	-90,026787
267,146301	-88,460556
267,819214	-88,756447
268,492126	-96,720833
269,165039	-88,725349
269,837952	-89,767838
270,510864	-91,420929
271,183777	-89,591286
271,856689	-88,590050
272,529602	-89,571899
273,202515	-91,128113
273,875427	-89,859459
274,548340	-91,383194
275,221252	-89,401176
275,894165	-87,182198
276,567078	-87,429558
277,239990	-87,543037
277,912903	-89,790604
278,585815	-91,618668
279,258728	-91,252876
279,931641	-89,724937
280,604553	-90,463959
281,277466	-89,297905
281,950378	-88,608131
282,623291	-92,438515
283,296204	-91,228035
283,969116	-90,227379
284,642029	-90,557396
285,314941	-93,381264
285,987854	-94,736809
286,660767	-93,790314
287,333679	-94,056824
288,006592	-94,751030
288,679504	-90,846107
289,352417	-89,272827
290,025330	-90,218544
290,698242	-90,229446
291,371155	-93,290382
292,044067	-90,695572
292,716980	-89,861099
293,389893	-92,463577
294,062805	-91,532143
294,735718	-91,593651
295,408630	-90,947762
296,081543	-90,396935
296,754456	-88,889168
297,427368	-89,056107
298,100281	-89,130562
298,773193	-87,062134
299,446106	-87,011551
300,119019	-89,390106
300,791931	-93,842445
301,464844	-89,520439
302,137756	-88,256409
302,810669	-89,604622
303,483582	-89,636086
304,156494	-90,368881
304,829407	-88,073456
305,502319	-85,436966
306,175232	-82,813843
306,848145	-85,757362
307,521057	-88,015373
308,193970	-87,501686
308,866882	-91,442322
309,539795	-90,470856
310,212708	-90,325768
310,885620	-91,435081
311,558533	-86,528099
312,231445	-85,381775
312,904358	-86,212776
313,577271	-70,505928
314,250183	-57,687340
314,923096	-58,000446
315,596008	-72,658112
316,268921	-82,810158
316,941833	-87,347610
317,614746	-88,404373
318,287659	-89,302155
318,960571	-90,017059
319,633484	-91,179703
320,306396	-88,458031
320,979309	-89,809868
321,652222	-92,999504
322,325134	-89,691078
322,998047	-88,323479
323,670959	-88,612556
324,343872	-91,552803
325,016785	-91,924049
325,689697	-91,360374
326,362610	-89,956306
327,035522	-90,202606
327,708435	-90,704361
328,381348	-89,757851
329,054260	-88,000290
329,727173	-90,827698
330,400085	-94,848145
331,072998	-93,597862
331,745911	-92,633583
332,418823	-92,654228
333,091736	-94,255638
333,764648	-93,024338
334,437561	-92,444321
335,110474	-92,210480
335,783386	-91,106293
336,456299	-91,087486
337,129211	-90,119728
337,802124	-89,777863
338,475037	-90,654060
339,147949	-92,378006
339,820862	-92,522453
340,493774	-91,517128
341,166687	-91,143898
341,839600	-91,232262
342,512512	-93,845558
343,185425	-92,662758
343,858337	-88,524704
344,531250	-90,177872
345,204163	-89,676064
345,877075	-88,694031
346,549988	-88,051514
347,222900	-87,210052
347,895813	-87,688133
348,568726	-90,166206
349,241638	-89,945274
349,914551	-88,246613
350,587463	-90,291138
351,260376	-90,084991
351,933289	-89,264191
352,606201	-87,814621
353,279114	-88,718010
353,952026	-87,836098
354,624939	-88,482521
355,297852	-86,582726
355,970764	-83,873932
356,643677	-85,651093
357,316589	-84,298309
357,989502	-85,238525
358,662415	-82,963356
359,335327	-83,212395
360,008240	-82,940834
360,681152	-82,002182
361,354065	-84,058960
362,026978	-82,707794
362,699890	-82,182175
363,372803	-82,376678
364,045715	-83,038780
364,718628	-83,674942
365,391541	-85,605324
366,064453	-83,692245
366,737366	-83,136742
367,410278	-83,723572
368,083191	-80,665527
368,756104	-76,924362
369,429016	-79,097313
370,101929	-81,001152
370,774841	-82,593430
371,447754	-80,266068
372,120667	-80,716339
372,793579	-81,320267
373,466492	-81,984352
374,139404	-81,355614
374,812317	-83,235100
375,485229	-82,424026
376,158142	-81,958755
376,831055	-80,788872
377,503967	-82,144943
378,176880	-79,437561
378,849792	-78,715164
379,522705	-78,104927
380,195618	-78,181480
380,868530	-77,076881
381,541443	-76,857590
382,214355	-76,050491
382,887268	-76,967674
383,560181	-76,173241
384,233093	-76,898659
384,906006	-77,464439
385,578918	-77,809837
386,251831	-75,262405
386,924744	-74,848442
387,597656	-75,915878
388,270569	-75,138161
388,943481	-74,556290
389,616394	-74,729668
390,289307	-75,838814
390,962219	-73,849518
391,635132	-72,630127
392,308044	-71,881653
392,980957	-71,522514
393,653870	-71,091515
394,326782	-71,342201
394,999695	-73,218559
395,672607	-74,107651
396,345520	-74,294189
397,018433	-74,870308
397,691345	-76,251350
398,364258	-75,226143
399,037170	-74,387787
399,710083	-74,353416
400,382996	-74,831314
401,055908	-76,193588
401,728821	-75,393837
402,401733	-75,721619
403,074646	-75,522972
403,747559	-75,416153
404,420471	-74,589378
405,093384	-74,035461
405,766296	-72,204582
406,439209	-70,614662
407,112122	-69,219864
407,785034	-68,610451
408,457947	-68,119072
409,130859	-68,010857
409,803772	-68,328934
410,476685	-68,184639
411,149597	-68,049110
411,822510	-67,751160
412,495422	-67,733574
413,168335	-67,746620
413,841248	-66,976822
414,514160	-65,516350
415,187073	-64,027115
415,859985	-62,392719
416,532898	-61,058498
417,205811	-60,338661
417,878723	-60,306507
418,551636	-60,544308
419,224548	-60,338631
419,897461	-59,316002
420,570374	-58,204590
421,243286	-57,433640
421,916199	-56,938732
422,589111	-56,627071
423,262024	-56,347610
423,934937	-55,797195
424,607849	-54,995846
425,280762	-54,122849
425,953674	-53,297321
426,626587	-52,647358
427,299500	-52,184902
427,972412	-52,042557
428,645325	-52,261051
429,318237	-52,796207
429,991150	-53,464836
430,664063	-54,223587
431,336975	-55,140186
432,009888	-56,372147
432,682800	-58,074589
433,355713	-60,059616
434,028625	-62,086067
434,701538	-63,753677
435,374451	-64,300758
436,047363	-64,083534
436,720276	-63,742496
437,393188	-63,544540
438,066101	-63,624851
438,739014	-63,576347
439,411926	-63,536671
440,084839	-63,799595
440,757751	-64,202217
441,430664	-64,465340
442,103577	-64,983780
442,776489	-65,677521
443,449402	-66,429886
444,122314	-66,858116
444,795227	-67,495346
445,468140	-68,706764
446,141052	-70,543549
446,813965	-71,640938
447,486877	-71,796791
448,159790	-72,523125
448,832703	-72,261711
449,505615	-70,910194
450,178528	-70,778107
450,851440	-71,169556
451,524353	-69,451164
452,197266	-67,970268
452,870178	-68,475159
453,543091	-68,842567
454,216003	-67,475906
454,888916	-67,442726
455,561829	-68,900429
456,234741	-68,356018
456,907654	-67,477722
457,580566	-68,705002
458,253479	-70,302551
458,926392	-70,091415
459,599304	-70,485382
460,272217	-72,248650
460,945129	-72,433228
461,618042	-71,293961
462,290955	-71,084053
462,963867	-70,517113
463,636780	-69,081139
464,309692	-67,949448
464,982605	-67,379990
465,655518	-67,166817
466,328430	-67,165306
467,001343	-67,554359
467,674255	-68,398605
468,347168	-69,089485
469,020081	-69,279099
469,692993	-69,288963
470,365906	-69,466408
471,038818	-69,604469
471,711731	-69,791283
472,384644	-70,136894
473,057556	-70,278809
473,730469	-69,818832
474,403381	-69,268158
475,076294	-69,270065
475,749207	-69,849113
476,422119	-70,588264
477,095032	-71,236809
477,767944	-71,712746
478,440857	-71,852951
479,113770	-71,314926
479,786682	-70,347855
480,459595	-69,318489
481,132507	-68,528397
481,805420	-68,082230
482,478333	-67,894112
483,151245	-67,964653
483,824158	-68,303543
484,497070	-68,908798
485,169983	-69,536682
485,842896	-69,882904
486,515808	-69,819054
487,188721	-69,449654
487,861633	-68,777321
488,534546	-67,826103
489,207458	-66,771378
489,880371	-65,865120
490,553284	-65,291771
491,226196	-65,028252
491,899109	-64,954399
492,572021	-64,909714
493,244934	-64,825874
493,917847	-64,648094
494,590759	-64,288605
495,263672	-63,876858
495,936584	-63,394344
496,609497	-62,871925
497,282410	-62,420391
497,955322	-61,959393
498,628235	-61,370960
499,301147	-60,709671
499,974060	-59,997231
500,646973	-59,231495
501,319885	-58,560173
501,992798	-58,106766
502,665710	-57,817505
503,338623	-57,533108
504,011536	-57,198132
504,684448	-56,830982
505,357361	-56,531612
506,030273	-56,397530
506,703186	-56,288818
507,376099	-56,084129
508,049011	-55,898933
508,721924	-55,794060
509,394836	-55,642185
510,067749	-55,426140
510,740662	-55,186863
511,413574	-54,977043
512,086487	-54,776329
512,759399	-54,618427
513,432312	-54,525238
514,105225	-54,498096
514,778137	-54,536888
515,451050	-54,677704
516,123962	-54,888580
516,796875	-55,155373
517,469788	-55,458363
518,142700	-55,859734
518,815613	-56,260826
519,488525	-56,631123
520,161438	-57,076801
520,834351	-57,607319
521,507263	-58,019382
522,180176	-58,315506
522,853088	-58,572529
523,526001	-58,865692
524,198914	-59,239052
524,871826	-59,725353
525,544739	-60,246445
526,217651	-60,738579
526,890564	-61,019176
527,563477	-61,068806
528,236389	-60,860691
528,909302	-60,555027
529,582214	-60,382740
530,255127	-60,400372
530,928040	-60,589638
531,600952	-60,796371
532,273865	-61,135292
532,946777	-61,613464
533,619690	-61,955528
534,292603	-62,045528
534,965515	-62,064877
535,638428	-62,185089
536,311340	-62,502705
536,984253	-63,030304
537,657166	-63,621452
538,330078	-63,920753
539,002991	-63,821999
539,675903	-63,660950
540,348816	-63,542213
541,021729	-63,349880
541,694641	-62,995415
542,367554	-62,927071
543,040466	-63,276356
543,713379	-63,917770
544,386292	-64,357094
545,059204	-64,633911
545,732117	-64,614746
546,405029	-64,476120
547,077942	-64,240295
547,750854	-64,477661
548,423767	-64,925102
549,096680	-64,964661
549,769592	-64,533623
550,442505	-64,480080
551,115417	-64,933495
551,788330	-65,494247
552,461243	-65,420647
553,134155	-65,633957
553,807068	-66,585022
554,479980	-67,244606
555,152893	-66,724358
555,825806	-66,008469
556,498718	-66,104759
557,171631	-66,864662
557,844543	-66,841003
558,517456	-66,015388
559,190369	-65,467300
559,863281	-65,761848
560,536194	-66,518250
561,209106	-66,894867
561,882019	-67,011551
562,554932	-66,889458
563,227844	-66,383911
563,900757	-65,105888
564,573669	-64,124313
565,246582	-63,388397
565,919495	-62,925018
566,592407	-62,710072
567,265320	-62,715401
567,938232	-62,786919
568,611145	-62,630566
569,284058	-61,734852
569,956970	-60,381283
570,629883	-58,963066
571,302795	-57,909008
571,975708	-56,831577
572,648621	-56,016838
573,321533	-55,219028
573,994446	-54,436073
574,667358	-53,565685
575,340271	-52,582905
576,013184	-51,579502
576,686096	-50,363285
577,359009	-49,316685
578,031921	-48,257137
578,704834	-47,338905
579,377747	-46,809139
580,050659	-46,668114
580,723572	-47,113808
581,396484	-47,879467
582,069397	-48,798962
582,742310	-49,809998
583,415222	-50,600685
584,088135	-51,508057
584,761047	-52,523415
585,433960	-53,780331
586,106873	-55,158619
586,779785	-56,311523
587,452698	-57,568264
588,125610	-58,835354
588,798523	-60,283371
589,471436	-61,726246
590,144348	-62,822548
590,817261	-63,177292
591,490173	-63,381390
592,163086	-63,500778
592,835999	-63,864754
593,508911	-64,192245
594,181824	-64,674698
594,854736	-65,345024
595,527649	-65,593506
596,200562	-65,907043
596,873474	-65,715218
597,546387	-65,197372
598,219299	-65,639816
598,892212	-66,864441
599,565125	-68,059166
600,238037	-70,326042
600,910950	-68,873497
601,583862	-67,709854
602,256775	-66,690651
602,929688	-66,902527
603,602600	-67,600677
604,275513	-68,783379
604,948425	-69,946526
605,621338	-71,009926
606,294250	-71,440666
606,967163	-72,277191
607,640076	-72,820709
608,312988	-73,263359
608,985901	-73,276184
609,658813	-73,020164
610,331726	-72,016823
611,004639	-71,467728
611,677551	-71,379852
612,350464	-71,499611
613,023376	-72,564926
613,696289	-73,710190
614,369202	-74,624268
615,042114	-75,080490
615,715027	-75,835701
616,387939	-76,401245
617,060852	-76,680061
617,733765	-76,618675
618,406677	-76,239647
619,079590	-76,786194
619,752502	-76,497719
620,425415	-76,743118
621,098328	-76,452438
621,771240	-76,823517
622,444153	-77,233986
623,117065	-78,028183
623,789978	-79,661926
624,462891	-80,512726
625,135803	-80,331482
625,808716	-82,077431
626,481628	-85,602211
627,154541	-89,526039
627,827454	-85,240097
628,500366	-78,613525
629,173279	-74,536140
629,846191	-79,411018
630,519104	-81,590599
631,192017	-81,875885
631,864929	-86,318932
632,537842	-88,293861
633,210754	-88,668739
